,method,BrickLayout,numOfBricks,numOfEpisodes,maxTimesteps,overallTrainingTime,avgExecutionTimePerEps
0,ES,TopRow,5,1000,100,14.887724161148071,0.014877517700195313
1,ES,TopRow,5,1000,1000,19.541515827178955,0.01952783417701721
2,ES,TopRow,5,1000,10000,35.33736491203308,0.035316863298416136
3,FV,TopRow,5,1000,100,14.737912893295288,0.014727862119674683
4,FV,TopRow,5,1000,1000,51.84158706665039,0.05181484246253967
5,FV,TopRow,5,1000,10000,57.608071088790894,0.05757189345359802
6,ES,MiddleRow,5,1000,100,16.09006404876709,0.016080413818359375
7,ES,MiddleRow,5,1000,1000,136.67889189720154,0.13659489727020263
8,ES,MiddleRow,5,1000,10000,318.6603488922119,0.3184091477394104
9,FV,MiddleRow,5,1000,100,14.340183019638062,0.014322391271591187
10,FV,MiddleRow,5,1000,1000,150.08415508270264,0.14999490666389464
11,FV,MiddleRow,5,1000,10000,115.42951202392578,0.11539478850364684
12,ES,ReversePyramid,5,1000,100,19.28828477859497,0.019272232055664064
13,ES,ReversePyramid,5,1000,1000,138.42537093162537,0.13833513569831848
14,ES,ReversePyramid,5,1000,10000,35.038086891174316,0.035015045166015626
15,FV,ReversePyramid,5,1000,100,13.057392120361328,0.013047205686569214
16,FV,ReversePyramid,5,1000,1000,27.54620385169983,0.027528047561645508
17,FV,ReversePyramid,5,1000,10000,32.41614079475403,0.03239595413208008
18,ES,TopRow,9,1000,100,14.035716772079468,0.014026197195053101
19,ES,TopRow,9,1000,1000,141.38046526908875,0.14129255509376526
20,ES,TopRow,9,1000,10000,55.5127649307251,0.055484508752822875
21,FV,TopRow,9,1000,100,14.82116413116455,0.014810046195983887
22,FV,TopRow,9,1000,1000,166.49699187278748,0.1664103021621704
23,FV,TopRow,9,1000,10000,119.89551401138306,0.11985636520385742
24,ES,MiddleRow,9,1000,100,15.350133895874023,0.015328459501266479
25,ES,MiddleRow,9,1000,1000,176.6667730808258,0.17658562111854553
26,ES,MiddleRow,9,1000,10000,134.57623410224915,0.13451803255081177
27,FV,MiddleRow,9,1000,100,14.433437824249268,0.0144232177734375
28,FV,MiddleRow,9,1000,1000,154.77819275856018,0.15469538760185242
29,FV,MiddleRow,9,1000,10000,161.42134308815002,0.16135242891311646
30,ES,ReversePyramid,9,1000,100,13.526739120483398,0.013516847848892212
31,ES,ReversePyramid,9,1000,1000,71.14693307876587,0.07110355949401856
32,ES,ReversePyramid,9,1000,10000,33.650716066360474,0.03363420057296753
33,FV,ReversePyramid,9,1000,100,16.52710509300232,0.016515701532363893
34,FV,ReversePyramid,9,1000,1000,59.47358798980713,0.059445015430450436
35,FV,ReversePyramid,9,1000,10000,40.4518780708313,0.040429253339767456
